|Run	|Epoch	|Trial	$TrialName	#Err	#SSE	#AvgSSE	#CosDiff
0	13	22	evt_3	1	1.55	0.062	0.7545
0	13	23	evt_22	1	0.7392	0.02957	0.8599
0	14	0	evt_20	1	0.346	0.01384	0.9085
0	14	1	evt_11	1	0.4654	0.01862	0.8978
0	14	2	evt_8	0	0	0	0.9812
0	14	3	evt_17	1	0.2702	0.01081	0.9541
0	14	4	evt_21	0	0	0	0.9501
0	14	5	evt_5	1	0.4243	0.01697	0.9324
0	14	6	evt_15	0	0	0	0.9558
0	14	7	evt_18	0	0	0	0.9335
0	14	8	evt_22	1	0.6544	0.02618	0.8762
0	14	9	evt_23	1	0.716	0.02864	0.8684
0	14	10	evt_2	0	0	0	0.9692
0	14	11	evt_13	1	0.2725	0.0109	0.8823
0	14	12	evt_12	0	0	0	0.9875
0	14	13	evt_14	1	0.4223	0.01689	0.9115
0	14	14	evt_9	1	0.5483	0.02193	0.8805
0	14	15	evt_7	1	0.2734	0.01094	0.9244
0	14	16	evt_19	1	0.5704	0.02281	0.8643
0	14	17	evt_4	1	0.3261	0.01304	0.8893
0	14	18	evt_3	1	0.7449	0.0298	0.8656
0	14	19	evt_16	1	0.332	0.01328	0.9247
0	14	20	evt_6	1	0.471	0.01884	0.9067
0	14	21	evt_1	0	0	0	0.9578
0	14	22	evt_10	1	1.688	0.06752	0.7062
0	14	23	evt_0	0	0	0	0.9086
0	15	0	evt_8	0	0	0	0.9812
0	15	1	evt_4	1	0.4024	0.0161	0.8805
0	15	2	evt_9	1	0.4597	0.01839	0.9035
0	15	3	evt_5	1	0.3616	0.01446	0.943
0	15	4	evt_23	1	0.6584	0.02634	0.8774
0	15	5	evt_16	1	0.4411	0.01764	0.9125
0	15	6	evt_1	0	0	0	0.9414
0	15	7	evt_21	0	0	0	0.923
0	15	8	evt_11	1	0.4152	0.01661	0.8965
0	15	9	evt_6	1	0.3885	0.01554	0.9255
0	15	10	evt_19	1	0.254	0.01016	0.9021
0	15	11	evt_17	0	0	0	0.956
0	15	12	evt_12	0	0	0	0.991
0	15	13	evt_3	1	0.4547	0.01819	0.8839
0	15	14	evt_14	1	0.3686	0.01475	0.9194
0	15	15	evt_18	0	0	0	0.9441
0	15	16	evt_10	1	0.2861	0.01144	0.8998
0	15	17	evt_13	1	0.294	0.01176	0.8924
0	15	18	evt_7	0	0	0	0.9546
0	15	19	evt_0	0	0	0	0.9451
0	15	20	evt_22	1	0.3598	0.01439	0.9017
0	15	21	evt_2	0	0	0	0.9717
0	15	22	evt_15	0	0	0	0.961
0	15	23	evt_20	0	0	0	0.9487
0	16	0	evt_0	1	0.3564	0.01426	0.9444
0	16	1	evt_22	1	0.3336	0.01334	0.9162
0	16	2	evt_18	0	0	0	0.9554
0	16	3	evt_13	1	0.2718	0.01087	0.9041
0	16	4	evt_23	1	0.2604	0.01042	0.9139
0	16	5	evt_15	1	0.2991	0.01196	0.9445
0	16	6	evt_4	1	0.3609	0.01444	0.8907
0	16	7	evt_21	0	0	0	0.9621
0	16	8	evt_16	1	0.5723	0.02289	0.9104
0	16	9	evt_11	1	0.4254	0.01701	0.9086
0	16	10	evt_5	1	0.2887	0.01155	0.9538
0	16	11	evt_17	0	0	0	0.9739
0	16	12	evt_7	0	0	0	0.964
0	16	13	evt_12	0	0	0	0.9934
0	16	14	evt_8	0	0	0	0.9848
0	16	15	evt_14	1	0.311	0.01244	0.9297
0	16	16	evt_1	1	0.5817	0.02327	0.878
0	16	17	evt_2	0	0	0	0.9714
0	16	18	evt_20	0	0	0	0.9478
0	16	19	evt_3	1	0.3913	0.01565	0.9134
0	16	20	evt_6	1	0.299	0.01196	0.9435
0	16	21	evt_19	0	0	0	0.9188
0	16	22	evt_9	1	0.3699	0.0148	0.9028
0	16	23	evt_10	1	0.2884	0.01154	0.9219
0	17	0	evt_5	0	0	0	0.9586
0	17	1	evt_20	0	0	0	0.9518
0	17	2	evt_18	0	0	0	0.9698
0	17	3	evt_13	0	0	0	0.9288
0	17	4	evt_10	1	0.2591	0.01037	0.9319
0	17	5	evt_4	1	0.2779	0.01111	0.9007
0	17	6	evt_7	0	0	0	0.9544
0	17	7	evt_12	0	0	0	0.9977
0	17	8	evt_23	1	1.324	0.05298	0.7366
0	17	9	evt_1	0	0	0	0.9572
0	17	10	evt_3	1	0.3171	0.01268	0.9287
0	17	11	evt_21	0	0	0	0.9614
0	17	12	evt_17	0	0	0	0.9829
0	17	13	evt_11	1	0.4422	0.01769	0.9128
0	17	14	evt_22	0	0	0	0.9413
0	17	15	evt_6	0	0	0	0.9608
